geo_param_run,geo_param_vehicle_length,geo_param_vehicle_width,geo_param_vehicle_height,geo_param_front_overhang,geo_param_front_planview,geo_param_hood_angle,geo_param_approach_angle,geo_param_windscreen_angle,geo_param_greenhouse_tapering,geo_param_backlight_angle,geo_param_decklid_height,geo_param_rearend_tapering,geo_param_rear_overhang,geo_param_rear_diffusor_angle,geo_param_vehicle_ride_height,geo_param_vehicle_pitch,run_id,force_run,force_cd,force_cl,force_clf,force_clr,force_cs,force_constref_run,force_constref_cd,force_constref_cl,force_constref_clf,force_constref_clr,force_constref_cs,source_dataset,dataset_version,ingested_at,source_file_count,source_files_json,cd,cl,cs
11,-88.9249,91.3766,19.1198,65.235,-41.3779,26.0051,-29.6594,99.2189,18.0549,-65.059,-21.0103,20.6193,19.3211,-42.4099,26.473,0.95739,11,11.0,0.3158833,0.1196749,-0.0248121,0.144487,0.04994975,11.0,0.3451425,0.13076,-0.02205725,0.1528172,0.05457644,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.3158833,0.1196749,0.04994975
12,111.075,-8.62342,-80.8802,-59.765,33.6221,-23.9949,5.34059,-50.7811,-81.9451,84.941,28.9897,-59.3807,-105.679,7.59009,-23.527,-0.0426098,12,12.0,0.2629017,0.04532444,-0.07135743,0.1166819,0.01034534,12.0,0.2524826,0.04352817,-0.07298652,0.1165147,0.009935341,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2629017,0.04532444,0.01034534
13,-138.925,-33.6234,-5.88015,-91.015,-60.1279,-36.4949,-38.4094,-88.2811,-6.94506,47.441,-33.5103,-79.3807,-11.9289,-4.90991,13.973,-0.29261,13,13.0,0.2729501,-0.04254468,-0.1575819,0.1150373,0.01920503,13.0,0.2638937,-0.04113306,-0.1467976,0.1056645,0.01856781,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2729501,-0.04254468,0.01920503
14,61.0751,66.3766,94.1198,33.985,14.8721,13.5051,-3.40941,61.7189,93.0549,197.441,16.4897,0.619345,-136.929,45.0901,-36.027,0.70739,14,14.0,0.2951097,0.1211445,-0.0003548076,0.1214993,0.04425028,14.0,0.3221728,0.132254,-0.003282797,0.1355368,0.04830825,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2951097,0.1211445,0.04425028
15,-38.9249,16.3766,44.1198,-28.515,-22.6279,-11.4949,-20.9094,-13.2811,43.0549,122.441,-8.51029,-39.3807,50.5711,20.0901,38.973,0.20739,15,15.0,0.2890822,-0.003865998,-0.07102278,0.06715678,0.02455571,15.0,0.3002725,-0.004015649,-0.07279112,0.06877547,0.02550625,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2890822,-0.003865998,0.02455571
16,161.075,-83.6234,-55.8802,96.485,52.3721,38.5051,14.0906,136.719,-56.9451,-27.559,41.4897,40.6193,-74.4289,-29.9099,-11.027,-0.79261,16,16.0,0.2644544,-0.004969649,-0.1317027,0.1267331,0.02964265,16.0,0.2393495,-0.004497875,-0.1258208,0.1213229,0.02682865,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2644544,-0.004969649,0.02964265
17,198.575,10.1266,12.8698,26.1725,-8.56539,35.3801,3.15309,-97.6561,-38.1951,113.066,-24.1353,-4.38066,74.0086,-33.0349,-26.652,-0.35511,17,17.0,0.2503583,0.00503405,-0.09702957,0.1020636,0.007261215,17.0,0.2613187,0.005254435,-0.1088412,0.1140956,0.007579102,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2503583,0.00503405,0.007261215
18,-1.42491,-89.8734,-87.1302,-98.8275,66.4346,-14.6199,-31.8469,52.3439,61.8049,-36.934,25.8647,-84.3807,-50.9914,16.9651,23.348,0.64489,18,18.0,0.2949358,0.004655781,-0.05047525,0.05513103,0.02556756,18.0,0.2438317,0.003849065,-0.04169364,0.04554271,0.02113742,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2949358,0.004655781,0.02556756
19,-101.425,60.1266,62.8698,88.6725,28.9346,-39.6199,20.6531,-22.6561,11.8049,188.066,0.864705,35.6193,-113.491,-8.03491,-1.65203,0.14489,19,19.0,0.3038487,0.1185991,-0.04718844,0.1657875,0.05639504,19.0,0.3353538,0.1308962,-0.04537076,0.176267,0.06224246,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.3038487,0.1185991,0.05639504
20,98.5751,-39.8734,-37.1302,-36.3275,-46.0654,10.3801,-14.3469,127.344,-88.1951,38.066,-49.1353,-44.3807,11.5086,41.9651,48.348,-0.85511,20,20.0,0.2751891,-0.034511,-0.1559199,0.1214089,0.0211055,20.0,0.2703701,-0.03390666,-0.1573774,0.1234707,0.02073591,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2751891,-0.034511,0.0211055
21,248.575,-64.8734,37.8698,-67.5775,10.1846,-2.11986,11.9031,89.8439,-13.1951,0.565994,-11.6353,-64.3807,-144.741,29.4651,-14.152,0.89489,21,21.0,0.2785419,0.06984654,-0.008372783,0.07821933,0.02295238,21.0,0.2624969,0.06582313,-0.01444702,0.08027015,0.02163024,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2785419,0.06984654,0.02295238
22,48.5751,35.1266,-62.1302,57.4225,-64.8154,47.8801,-23.0969,-60.1561,86.8049,150.566,38.3647,15.6193,-19.7414,-20.5349,35.848,-0.10511,22,22.0,0.2958881,0.006091097,-0.1070224,0.1131134,0.02519078,22.0,0.2934338,0.006040572,-0.1080599,0.1141005,0.02498183,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2958881,0.006091097,0.02519078
23,-51.4249,-14.8734,87.8698,-5.07749,47.6846,22.8801,29.4031,-135.156,36.8049,75.566,13.3647,-24.3807,-82.2414,-45.5349,10.848,-0.60511,23,23.0,0.2769812,0.02095328,-0.08383555,0.1047888,0.02737494,23.0,0.2900006,0.02193818,-0.08572146,0.1076596,0.02866169,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2769812,0.02095328,0.02737494
24,148.575,85.1266,-12.1302,-130.077,-27.3154,-27.1199,-5.59691,14.8439,-63.1951,-74.434,-36.6353,55.6193,42.7586,4.46509,-39.152,0.39489,24,24.0,0.2629866,0.1295406,-0.0183421,0.1478827,0.02702784,24.0,0.287225,0.1414799,-0.02860162,0.1700815,0.02951889,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2629866,0.1295406,0.02702784
25,223.575,72.6266,-74.6302,-20.7025,0.809607,-33.3699,-27.4719,146.094,-25.6951,-93.184,32.1147,-34.3807,89.6336,-1.78491,29.598,-0.73011,25,25.0,0.2840931,-0.04791146,-0.1583541,0.1104426,0.004204415,25.0,0.302029,-0.05093628,-0.1777416,0.1268053,0.004469855,DrivAerML,neashton/drivaerml-main,2026-04-30T20:35:46+00:00,3,"[{""path"": ""data/raw/drivaerml/geo_parameters_all.csv"", ""sha256"": ""2d4e8b3f166d1facab2a38821af2c3cc1dbba47cfbb7bf0814e3e0bf1fe3e829"", ""size_bytes"": 77574}, {""path"": ""data/raw/drivaerml/force_mom_all.csv"", ""sha256"": ""360d0ea616ce5dec4c23f400e1d2e3436fcfab3837a5428688effd95f8f61dd8"", ""size_bytes"": 33942}, {""path"": ""data/raw/drivaerml/force_mom_constref_all.csv"", ""sha256"": ""4e9e003da38ccdcacad359451079888361eae221d3c8dad7fd5682250d257865"", ""size_bytes"": 33947}]",0.2840931,-0.04791146,0.004204415
